world_joint/x,world_joint/y,world_joint/theta,torso_joint1,limb_right_joint1,limb_right_joint2,limb_right_joint3,limb_right_joint4,limb_right_joint5,limb_right_joint6,limb_right_joint7,hinge
0.000000,0.000000,0.000000,0.394153,2.171185,-0.289119,2.850034,0.603020,0.506688,2.003113,-0.912883,1.000000
0.000000,0.000000,0.000000,0.396831,2.165293,-0.290770,2.842778,0.598936,0.516226,2.007357,-0.918538,1.000000
0.000000,0.000000,0.000000,0.398199,2.162334,-0.291551,2.839116,0.596951,0.521047,2.009479,-0.921375,1.000000
0.000000,0.000000,0.000000,0.401065,2.156261,-0.293083,2.831590,0.592973,0.531040,2.013833,-0.927088,1.000000
0.000000,0.000000,0.000000,0.404042,2.150091,-0.294528,2.823898,0.589090,0.541294,2.018241,-0.932847,1.000000
0.000000,0.000000,0.000000,0.405568,2.146990,-0.295197,2.820006,0.587220,0.546491,2.020447,-0.935728,1.000000
0.000000,0.000000,0.000000,0.410354,2.137450,-0.297150,2.807996,0.581631,0.562638,2.027232,-0.944462,1.000000
0.000000,0.000000,0.000000,0.413749,2.130898,-0.298305,2.799643,0.578073,0.573894,2.031866,-0.950423,1.000000
0.000000,0.000000,0.000000,0.419052,2.120938,-0.299853,2.786822,0.572999,0.591243,2.038892,-0.959383,1.000000
0.000000,0.000000,0.000000,0.422787,2.114157,-0.300705,2.777939,0.569866,0.603253,2.043655,-0.965479,1.000000
0.000000,0.000000,0.000000,0.430666,2.100289,-0.302144,2.759528,0.564008,0.628231,2.053386,-0.977801,1.000000
0.000000,0.000000,0.000000,0.434853,2.093250,-0.302581,2.749883,0.561526,0.641214,2.058310,-0.984133,1.000000
0.000000,0.000000,0.000000,0.437021,2.089693,-0.302725,2.744915,0.560404,0.647865,2.060799,-0.987364,1.000000
0.000000,0.000000,0.000000,0.450806,2.067998,-0.302994,2.713756,0.554809,0.689418,2.076051,-1.007101,1.000000
0.000000,0.000000,0.000000,0.460865,2.053403,-0.302254,2.691231,0.552824,0.718770,2.086469,-1.020939,1.000000
0.000000,0.000000,0.000000,0.463490,2.049772,-0.301937,2.685350,0.552590,0.726300,2.089100,-1.024501,1.000000
0.000000,0.000000,0.000000,0.468867,2.042489,-0.301219,2.673334,0.552335,0.741606,2.094426,-1.031709,1.000000
0.000000,0.000000,0.000000,0.474413,2.035255,-0.300326,2.660931,0.552479,0.757191,2.099805,-1.039064,1.000000
0.000000,0.000000,0.000000,0.486056,2.020768,-0.298197,2.634972,0.553720,0.789367,2.110853,-1.054191,1.000000
0.000000,0.000000,0.000000,0.504813,2.000066,-0.293644,2.592586,0.559111,0.839400,2.127923,-1.078249,1.000000
0.000000,0.000000,0.000000,0.511379,1.993653,-0.291759,2.577428,0.561941,0.856415,2.133751,-1.086657,1.000000
0.000000,0.000000,0.000000,0.521554,1.984367,-0.288743,2.553764,0.566956,0.882348,2.142726,-1.099598,1.000000
0.000000,0.000000,0.000000,0.528515,1.978634,-0.286538,2.537237,0.570959,0.899777,2.148836,-1.108479,1.000000
0.000000,0.000000,0.000000,0.532069,1.975923,-0.285368,2.528659,0.573185,0.908581,2.151953,-1.113029,1.000000
0.000000,0.000000,0.000000,0.535640,1.973319,-0.284180,2.519974,0.575514,0.917368,2.155089,-1.117602,1.000000
0.000000,0.000000,0.000000,0.539580,1.970414,-0.280028,2.510523,0.577893,0.926839,2.161173,-1.121232,1.000000
0.000000,0.000000,0.000000,0.531809,1.975829,-0.288474,2.529597,0.572997,0.908100,2.149069,-1.114005,1.000000
0.000000,0.000000,0.000000,0.512969,1.990383,-0.309510,2.574171,0.562419,0.862229,2.119643,-1.096879,1.000000
0.000000,0.000000,0.000000,0.487676,2.014232,-0.337968,2.628274,0.552514,0.800363,2.080088,-1.075059,1.000000
0.000000,0.000000,0.000000,0.473873,2.030030,-0.352763,2.653656,0.550311,0.767041,2.058420,-1.064071,1.000000
0.000000,0.000000,0.000000,0.460601,2.046295,-0.366842,2.676167,0.549946,0.735428,2.037287,-1.053924,1.000000
0.000000,0.000000,0.000000,0.441620,2.070625,-0.387152,2.705917,0.551902,0.691137,2.006359,-1.039888,1.000000
0.000000,0.000000,0.000000,0.424055,2.094355,-0.405864,2.730421,0.556727,0.651523,1.976840,-1.027501,1.000000
0.000000,0.000000,0.000000,0.418434,2.102276,-0.411721,2.737474,0.559009,0.639185,1.967175,-1.023785,1.000000
0.000000,0.000000,0.000000,0.412956,2.110045,-0.417460,2.744117,0.561480,0.627322,1.957646,-1.020201,1.000000
