world_joint/x,world_joint/y,world_joint/z,world_joint/yaw,world_joint/pitch,world_joint/roll,torso_joint1,limb_right_joint1,limb_right_joint2,limb_right_joint3,limb_right_joint4,limb_right_joint5,limb_right_joint6,limb_right_joint7,hinge
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.241182,2.330951,-0.754947,2.839451,0.722717,0.399753,1.493002,-2.528582,0.945107
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.238906,2.334045,-0.755222,2.840366,0.724576,0.396636,1.491435,-2.525746,0.942721
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.236771,2.336955,-0.755479,2.841226,0.726329,0.393717,1.489964,-2.523066,0.942721
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.234653,2.339852,-0.755736,2.842082,0.728078,0.390822,1.488504,-2.520389,0.940334
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.230461,2.345618,-0.756248,2.843786,0.731570,0.385099,1.485609,-2.515026,0.940334
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.231172,2.344769,-0.754058,2.843616,0.730674,0.385499,1.488361,-2.515292,0.937947
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.231895,2.343907,-0.751870,2.843442,0.729769,0.385919,1.491118,-2.515567,0.935561
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.232630,2.343032,-0.749672,2.843263,0.728853,0.386354,1.493892,-2.515849,0.935561
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.234894,2.340340,-0.743072,2.842709,0.726064,0.387746,1.502248,-2.516735,0.933174
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.238032,2.336613,-0.734257,2.841920,0.722250,0.389792,1.513470,-2.518000,0.930788
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.239680,2.334658,-0.729724,2.841494,0.720259,0.390904,1.519266,-2.518674,0.923628
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.242210,2.331655,-0.723075,2.840824,0.717257,0.392719,1.527824,-2.519744,0.921241
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.243912,2.329636,-0.718638,2.840364,0.715240,0.393958,1.533548,-2.520467,0.916468
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.244800,2.328581,-0.716417,2.840119,0.714205,0.394638,1.536433,-2.520854,0.914081
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.245684,2.327531,-0.714194,2.839873,0.713172,0.395312,1.539319,-2.521239,0.914081
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.246574,2.326473,-0.711976,2.839623,0.712134,0.396001,1.542204,-2.521629,0.911695
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.247480,2.325396,-0.709742,2.839367,0.711082,0.396710,1.545115,-2.522028,0.909308
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.248394,2.324310,-0.707513,2.839106,0.710026,0.397434,1.548025,-2.522432,0.909308
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.250233,2.322121,-0.703056,2.838575,0.707903,0.398907,1.553853,-2.523251,0.906921
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.252144,2.319841,-0.698582,2.838010,0.705727,0.400500,1.559742,-2.524119,0.904535
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.249988,2.322908,-0.698792,2.839074,0.707502,0.397328,1.558199,-2.521362,0.902148
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.245732,2.328987,-0.699207,2.841180,0.711030,0.391069,1.555145,-2.515875,0.899761
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.241619,2.334935,-0.699613,2.843247,0.714516,0.385033,1.552189,-2.510407,0.897375
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.237509,2.340885,-0.700013,2.845297,0.718005,0.379008,1.549231,-2.504956,0.897375
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.235515,2.343807,-0.700213,2.846300,0.719723,0.376084,1.547778,-2.502259,0.894988
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.229599,2.352511,-0.700793,2.849304,0.724884,0.367435,1.543510,-2.494110,0.892601
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.227544,2.355551,-0.700993,2.850343,0.726689,0.364436,1.542022,-2.491265,0.890215
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.225611,2.358427,-0.701183,2.851324,0.728399,0.361613,1.540615,-2.488562,0.890215
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.223693,2.361289,-0.701371,2.852299,0.730104,0.358816,1.539220,-2.485863,0.890215
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.221798,2.364128,-0.701558,2.853266,0.731799,0.356053,1.537839,-2.483176,0.887828
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.222693,2.363142,-0.699312,2.853024,0.730700,0.356702,1.540755,-2.483573,0.887828
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.224504,2.361142,-0.694820,2.852530,0.728486,0.358036,1.546601,-2.484381,0.885442
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.225445,2.360097,-0.692567,2.852267,0.727350,0.358760,1.549552,-2.484810,0.883055
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.227312,2.358027,-0.688064,2.851742,0.725090,0.360188,1.555444,-2.485659,0.880668
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.228282,2.356946,-0.685804,2.851462,0.723931,0.360961,1.558420,-2.486108,0.878282
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.229245,2.355873,-0.683549,2.851183,0.722777,0.361727,1.561387,-2.486554,0.875895
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.230219,2.354786,-0.681289,2.850898,0.721613,0.362511,1.564368,-2.487007,0.875895
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.231258,2.353624,-0.678897,2.850591,0.720375,0.363356,1.567527,-2.487493,0.873508
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.231238,2.353655,-0.678899,2.850602,0.720393,0.363326,1.567512,-2.487464,0.871122
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.229326,2.356560,-0.679066,2.851651,0.722101,0.360452,1.566099,-2.484745,0.871122
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.221888,2.367981,-0.679721,2.855793,0.728845,0.349275,1.560583,-2.473915,0.871122
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.216474,2.376409,-0.680193,2.858827,0.733851,0.341157,1.556551,-2.465837,0.868735
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.211189,2.384735,-0.680653,2.861813,0.738815,0.333243,1.552601,-2.457778,0.866348
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.207639,2.390387,-0.680959,2.863829,0.742194,0.327937,1.549941,-2.452266,0.863962
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.204247,2.395831,-0.681251,2.865760,0.745454,0.322871,1.547393,-2.446931,0.863962
0.000000,0.85,0.0,-1.570796,0.0,0.0,0.202569,2.398542,-0.681396,2.866721,0.747080,0.320367,1.546131,-2.444259,0.861575
